Prinzip,Anhang,Begründung,Betroffenheit,Erfolgskriterium,Fundort,Guideline,Konformitätsstufe,Status
Operable,,,"Cognitive, Physical/Motor, Visual",2.5.1 – Pointer Gestures,,2.5 – Input Modalities,A,NA
Operable,,,,2.5.5 – Target Size (Enhanced),Navigation,2.5 – Input Modalities,AAA,Nicht Erfüllt
Operable,,,,2.2.3 – No Timing,,2.2 – Enough Time,AAA,NA
Perceivable,,,Auditory/Hearing,1.2.1 – Audio-only and Video-only (Prerecorded),,1.2 – Time-based Media,A,NA
Operable,,,,2.4.9 – Link Purpose (Link Only),"Ansprechperson finden, FAQs, Impressum, Kontaktformular, Meldeformular, Navigation, Startseite",2.4 – Navigable,AAA,Nicht Erfüllt
Operable,,,"Cognitive, Visual",2.3.1 – Three Flashes or Below Threshold,,2.3 – Seizures and Physical Reactions,A,NA
Perceivable,,,Visual,1.2.5 – Audio Description (Prerecorded),,1.2 – Time-based Media,AA,NA
Perceivable,,,,1.2.6 – Sign Language (Prerecorded),,1.2 – Time-based Media,AAA,NA
Operable,,,,2.3.2 – Three Flashes,,2.3 – Seizures and Physical Reactions,AAA,NA
Perceivable,,,"Cognitive, Visual",1.4.13 – Content on Hover or Focus,,1.4 – Distinguishable,AA,Erfüllt
Perceivable,,"Icons für Adminbereich ohne text und Lable ","Cognitive, Visual",1.3.3 – Sensory Characteristics,Navigation,1.3 – Adaptable,A,Nicht Erfüllt
Operable,,,"Cognitive, Visual",2.5.3 – Label in Name,,2.5 – Input Modalities,A,Erfüllt
Perceivable,,"Kein Autocomplete in Formularen
Inputformulare nicht mit Lable verbunden 
mehrfach gleiche IDs

Navigation: Sprachwechesl hat kein lable","Cognitive, Visual",1.3.5 – Identify Input Purpose,"Kontaktformular, Meldeformular, Navigation",1.3 – Adaptable,AA,Nicht Erfüllt
Understandable,,,"Cognitive, Visual",3.1.2 – Language of Parts,,3.1 – Readable,AA,NA
Perceivable,,,,1.4.8 – Visual Presentation,,1.4 – Distinguishable,AAA,Erfüllt
Operable,,,"Cognitive, Visual","2.2.2 – Pause, Stop, Hide",,2.2 – Enough Time,A,NA
Operable,Analyse%20der%20HTW-Antidiskriminierungs-Webseite/Untitled/Operable%203263-ff04/image.png,Navigation: Icon hat nicht ausreichend abstand zu Datenschutz Verlinkung,Physical/Motor,2.5.8 – Target Size (Minimum),Navigation,2.5 – Input Modalities,AA,Nicht Erfüllt
Perceivable,,,,1.4.7 – Low or No Background Audio,,1.4 – Distinguishable,AAA,NA
